Track_Name,Album_Title,Artist
Stone Crazy,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Pretty Baby,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
When My Left Eye Jumps,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Leave My Girl Alone,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
She Suits Me To A Tee,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Keep It To Myself (Aka Keep It To Yourself),The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
My Time After Awhile,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Too Many Ways (Alternate),The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Talkin' 'Bout Women Obviously,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Jorge Da Capadócia,Prenda Minha,Caetano Veloso
Prenda Minha,Prenda Minha,Caetano Veloso
Meditação,Prenda Minha,Caetano Veloso
Terra,Prenda Minha,Caetano Veloso
Eclipse Oculto,Prenda Minha,Caetano Veloso
"Texto ""Verdade Tropical""",Prenda Minha,Caetano Veloso
Bem Devagar,Prenda Minha,Caetano Veloso
Drão,Prenda Minha,Caetano Veloso
Saudosismo,Prenda Minha,Caetano Veloso
Carolina,Prenda Minha,Caetano Veloso
Sozinho,Prenda Minha,Caetano Veloso
Esse Cara,Prenda Minha,Caetano Veloso
Mel,Prenda Minha,Caetano Veloso
Linha Do Equador,Prenda Minha,Caetano Veloso
Odara,Prenda Minha,Caetano Veloso
A Luz De Tieta,Prenda Minha,Caetano Veloso
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,Prenda Minha,Caetano Veloso
Vida Boa,Prenda Minha,Caetano Veloso
Sozinho (Hitmakers Classic Mix),Sozinho Remix Ao Vivo,Caetano Veloso
Sozinho (Hitmakers Classic Radio Edit),Sozinho Remix Ao Vivo,Caetano Veloso
Sozinho (Caêdrum 'n' Bass),Sozinho Remix Ao Vivo,Caetano Veloso
Carolina,Minha Historia,Chico Buarque
Essa Moça Ta Diferente,Minha Historia,Chico Buarque
Vai Passar,Minha Historia,Chico Buarque
Samba De Orly,Minha Historia,Chico Buarque
"Bye, Bye Brasil",Minha Historia,Chico Buarque
Atras Da Porta,Minha Historia,Chico Buarque
Tatuagem,Minha Historia,Chico Buarque
O Que Será (À Flor Da Terra),Minha Historia,Chico Buarque
Morena De Angola,Minha Historia,Chico Buarque
Apesar De Você,Minha Historia,Chico Buarque
A Banda,Minha Historia,Chico Buarque
Minha Historia,Minha Historia,Chico Buarque
Com Açúcar E Com Afeto,Minha Historia,Chico Buarque
Brejo Da Cruz,Minha Historia,Chico Buarque
Meu Caro Amigo,Minha Historia,Chico Buarque
Geni E O Zepelim,Minha Historia,Chico Buarque
Trocando Em Miúdos,Minha Historia,Chico Buarque
Vai Trabalhar Vagabundo,Minha Historia,Chico Buarque
Gota D'água,Minha Historia,Chico Buarque
Construção / Deus Lhe Pague,Minha Historia,Chico Buarque
Mateus Enter,Afrociberdelia,Chico Science & Nação Zumbi
O Cidadão Do Mundo,Afrociberdelia,Chico Science & Nação Zumbi
Etnia,Afrociberdelia,Chico Science & Nação Zumbi
Quilombo Groove [Instrumental],Afrociberdelia,Chico Science & Nação Zumbi
Macô,Afrociberdelia,Chico Science & Nação Zumbi
Um Passeio No Mundo Livre,Afrociberdelia,Chico Science & Nação Zumbi
Samba Do Lado,Afrociberdelia,Chico Science & Nação Zumbi
Maracatu Atômico,Afrociberdelia,Chico Science & Nação Zumbi
O Encontro De Isaac Asimov Com Santos Dumont No Céu,Afrociberdelia,Chico Science & Nação Zumbi
Corpo De Lama,Afrociberdelia,Chico Science & Nação Zumbi
Sobremesa,Afrociberdelia,Chico Science & Nação Zumbi
Manguetown,Afrociberdelia,Chico Science & Nação Zumbi
Um Satélite Na Cabeça,Afrociberdelia,Chico Science & Nação Zumbi
Baião Ambiental [Instrumental],Afrociberdelia,Chico Science & Nação Zumbi
Sangue De Bairro,Afrociberdelia,Chico Science & Nação Zumbi
Enquanto O Mundo Explode,Afrociberdelia,Chico Science & Nação Zumbi
Interlude Zumbi,Afrociberdelia,Chico Science & Nação Zumbi
Criança De Domingo,Afrociberdelia,Chico Science & Nação Zumbi
Amor De Muito,Afrociberdelia,Chico Science & Nação Zumbi
Samidarish [Instrumental],Afrociberdelia,Chico Science & Nação Zumbi
Maracatu Atômico [Atomic Version],Afrociberdelia,Chico Science & Nação Zumbi
Maracatu Atômico [Ragga Mix],Afrociberdelia,Chico Science & Nação Zumbi
Maracatu Atômico [Trip Hop],Afrociberdelia,Chico Science & Nação Zumbi
Banditismo Por Uma Questa,Da Lama Ao Caos,Chico Science & Nação Zumbi
Banditismo Por Uma Questa,Da Lama Ao Caos,Chico Science & Nação Zumbi
Rios Pontes & Overdrives,Da Lama Ao Caos,Chico Science & Nação Zumbi
Cidade,Da Lama Ao Caos,Chico Science & Nação Zumbi
Praiera,Da Lama Ao Caos,Chico Science & Nação Zumbi
Samba Makossa,Da Lama Ao Caos,Chico Science & Nação Zumbi
Da Lama Ao Caos,Da Lama Ao Caos,Chico Science & Nação Zumbi
Maracatu De Tiro Certeiro,Da Lama Ao Caos,Chico Science & Nação Zumbi
Salustiano Song,Da Lama Ao Caos,Chico Science & Nação Zumbi
Antene Se,Da Lama Ao Caos,Chico Science & Nação Zumbi
Risoflora,Da Lama Ao Caos,Chico Science & Nação Zumbi
Lixo Do Mangue,Da Lama Ao Caos,Chico Science & Nação Zumbi
Computadores Fazem Arte,Da Lama Ao Caos,Chico Science & Nação Zumbi
Girassol,Acústico MTV [Live],Cidade Negra
A Sombra Da Maldade,Acústico MTV [Live],Cidade Negra
Johnny B. Goode,Acústico MTV [Live],Cidade Negra
Soldado Da Paz,Acústico MTV [Live],Cidade Negra
Firmamento,Acústico MTV [Live],Cidade Negra
Extra,Acústico MTV [Live],Cidade Negra
O Erê,Acústico MTV [Live],Cidade Negra
Podes Crer,Acústico MTV [Live],Cidade Negra
A Estrada,Acústico MTV [Live],Cidade Negra
Berlim,Acústico MTV [Live],Cidade Negra
Já Foi,Acústico MTV [Live],Cidade Negra
Onde Você Mora?,Acústico MTV [Live],Cidade Negra
Pensamento,Acústico MTV [Live],Cidade Negra
Conciliação,Acústico MTV [Live],Cidade Negra
Realidade Virtual,Acústico MTV [Live],Cidade Negra
Mensagem,Acústico MTV [Live],Cidade Negra
A Cor Do Sol,Acústico MTV [Live],Cidade Negra
Onde Você Mora?,Cidade Negra - Hits,Cidade Negra
O Erê,Cidade Negra - Hits,Cidade Negra
A Sombra Da Maldade,Cidade Negra - Hits,Cidade Negra
